reaction	reactant	product	type
R02477	C00523	C00674	kegg
R02478	C00523	C11135	kegg
R02478	C00167	C11135	kegg
R02497	C03917	C00535	kegg
R02499	C00535	C04295	kegg
R02501	C00535	C05294	kegg
R02502	C00535	C11134	kegg
R02502	C00167	C11134	kegg
R02503	C00535	C05291	kegg
R02723	C00187	C05502	kegg
R02725	C00280	C05284	kegg
R02834	C00735	C00762	kegg
R02836	C00735	C00762	kegg
R02838	C05497	C00735	kegg
R02840	C00735	C05489	kegg
R02841	C05471	C00735	kegg
R02843	C05488	C00735	kegg
R02893	C05469	C00762	kegg
R03086	C00951	C03935	kegg
R03087	C05295	C00951	kegg
R03088	C00951	C05301	kegg
R03089	C00951	C05141	kegg
R03090	C00951	C05301	kegg
R03091	C00951	C05503	kegg
R03091	C00167	C05503	kegg
R03262	C02140	C01124	kegg
R03263	C01124	C01780	kegg
R03325	C04518	C01176	kegg
R03326	C01176	C05488	kegg
R03327	C05138	C01176	kegg
R03329	C01176	C05497	kegg
R03404	C04555	C01227	kegg
R03404	C04555	C00059	kegg
R03405	C00053	C00054	kegg
R03405	C00053	C04555	kegg
R03405	C01227	C00054	kegg
R03405	C01227	C04555	kegg
R03406	C04295	C01227	kegg
R03407	C04295	C01227	kegg
R03408	C01227	C05139	kegg
R03713	C05473	C01780	kegg
R03783	C01953	C05138	kegg
R03784	C01953	C05485	kegg
R03847	C02140	C05490	kegg
R03848	C02140	C05490	kegg
R03851	C03205	C02140	kegg
R03933	C05501	C02373	kegg
R03933	C05501	C01953	kegg
R03980	C02538	C00059	kegg
R03980	C02538	C00468	kegg
R04163	C05485	C03205	kegg
R04353	C05299	C11132	kegg
R04353	C00167	C11132	kegg
R04354	C05302	C11131	kegg
R04354	C00167	C11131	kegg
R04675	C05138	C05487	kegg
R04676	C05499	C05138	kegg
R04676	C05499	C02373	kegg
R04678	C05140	C05139	kegg
R04681	C05141	C05300	kegg
R04682	C05141	C05300	kegg
R04683	C00167	C05504	kegg
R04683	C05141	C05504	kegg
R04758	C05284	C05285	kegg
R04759	C05290	C05297	kegg
R04760	C05291	C05296	kegg
R04761	C05294	C05295	kegg
R04762	C05298	C05299	kegg
